"Date","Event"
"5/10/1901","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/28/1902","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/28/1902","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/9/1902","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1902","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"5/10/1902","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"4/27/1903","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1903","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1903","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/10/1903","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/11/1903","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/11/1903","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1904","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1904","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1904","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"5/10/1904","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"4/24/1905","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1905","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1905","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"5/10/1905","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"4/23/1906","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/30/1906","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1906","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"5/10/1906","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/22/1907","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1907","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1907","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1907","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/27/1908","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1908","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1908","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/10/1908","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/11/1908","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/11/1908","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1909","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1909","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1909","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1909","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1910","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1910","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1910","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"5/10/1910","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"4/24/1911","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1911","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1911","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"5/10/1911","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"4/22/1912","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1912","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1912","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1912","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/28/1913","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/28/1913","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/9/1913","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1913","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"5/10/1913","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"4/27/1914","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1914","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1914","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/10/1914","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/11/1914","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/11/1914","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1915","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1915","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1915","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1915","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1916","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1916","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1916","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"5/10/1916","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"4/23/1917","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/30/1917","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1917","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"5/10/1917","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/22/1918","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1918","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1918","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1918","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/28/1919","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/28/1919","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/9/1919","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1919","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"5/10/1919","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"4/26/1920","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1920","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1920","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1920","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1921","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1921","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1921","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"5/10/1921","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"4/24/1922","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1922","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1922","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"5/10/1922","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"4/23/1923","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/30/1923","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1923","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"5/10/1923","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/28/1924","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/28/1924","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/9/1924","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1924","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"5/10/1924","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"4/27/1925","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1925","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1925","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/10/1925","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/11/1925","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/11/1925","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1926","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1926","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1926","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1926","North America - United States - State holiday - Confederate Memorial Day - Monday"
